"Currency","Rate"
"AED",3.673
"AFN",76.899997
"ALL",104.85
"AMD",481.616228
"ANG",1.794806
"AOA",658.325
"ARS",78.2149
"AUD",1.403184
"AWG",1.8
"AZN",1.7025
"BAM",1.65435
"BBD",2
"BDT",84.72744
"BGN",1.655555
"BHD",0.376973
"BIF",1936
"BMD",1
"BND",1.360463
"BOB",6.904406
"BRL",5.6131
"BSD",1
"BTC",7.6833091e-05
"BTN",73.985349
"BWP",11.388502
"BYN",2.542113
"BZD",2.00483
"CAD",1.319634
"CDF",1960
"CHF",0.908024
"CLF",0.028098
"CLP",775.299317
"CNH",6.697247
"CNY",6.7122
"COP",3814.86
"CRC",603.868588
"CUC",0.999793
"CUP",25.75
"CVE",93.63
"CZK",23.111001
"DJF",178.008789
"DKK",6.301735
"DOP",58.4
"DZD",128.738256
"EGP",15.6995
"ERN",15.000309
"ETB",37.45
"EUR",0.846951
"FJD",2.13
"FKP",0.76809
"GBP",0.76809
"GEL",3.225
"GGP",0.76809
"GHS",5.83
"GIP",0.76809
"GMD",51.75
"GNF",9775
"GTQ",7.779267
"GYD",209.136051
"HKD",7.75025
"HNL",24.5
"HRK",6.418616
"HTG",62.694275
"HUF",309.134
"IDR",14667.054938
"ILS",3.39101
"IMP",0.76809
"INR",73.9695
"IQD",1191.5
"IRR",42105.725176
"ISK",139.83
"JEP",0.76809
"JMD",146.017132
"JOD",0.709
"JPY",104.85375
"KES",108.84
"KGS",80.668201
"KHR",4075
"KMF",416.950166
"KPW",900
"KRW",1132.879282
"KWD",0.305579
"KYD",0.83333
"KZT",429.800897
"LAK",9257
"LBP",1512.951351
"LKR",184.333553
"LRD",191.250065
"LSL",16.25
"LYD",1.36
"MAD",9.17
"MDL",17.006899
"MGA",3925
"MKD",52.139442
"MMK",1286.887643
"MNT",2846.502242
"MOP",7.981764
"MRO",357
"MRU",37.03
"MUR",39.85
"MVR",15.41
"MWK",756
"MXN",20.9318
"MYR",4.1655
"MZN",72.850017
"NAD",16.25
"NGN",381
"NIO",34.73
"NOK",9.24616
"NPR",118.376484
"NZD",1.497127
"OMR",0.384983
"PAB",1
"PEN",3.6055
"PGK",3.505
"PHP",48.380125
"PKR",161.2
"PLN",3.876802
"PYG",7039.457593
"QAR",3.641
"RON",4.1273
"RSD",99.6
"RUB",76.3766
"RWF",975.5
"SAR",3.75002
"SBD",8.09052
"SCR",19.249127
"SDG",55.275
"SEK",8.742387
"SGD",1.361254
"SHP",0.76809
"SLL",9964.225022
"SOS",583
"SRD",14.154
"SSP",130.26
"STD",20919.263213
"STN",20.875
"SVC",8.749529
"SYP",512.545514
"SZL",16.25
"THB",31.2725
"TJS",10.334068
"TMT",3.51
"TND",2.7445
"TOP",2.313288
"TRY",8.088451
"TTD",6.786411
"TWD",28.610202
"TZS",2318.806016
"UAH",28.335243
"UGX",3732.690737
"USD",1
"UYU",42.677095
"UZS",10355
"VEF",248487.642241
"VES",461866.864013
"VND",23206.814555
"VUV",113.773391
"WST",2.609978
"XAF",555.563128
"XAG",0.04113534
"XAU",0.00052569
"XCD",2.70255
"XDR",0.706435
"XOF",555.563128
"XPD",0.00042354
"XPF",101.068082
"XPT",0.00114157
"YER",250.399984
"ZAR",16.2055
"ZMW",20.306877
"ZWL",322
