"Currency","Rate"
"AED",3.67295
"AFN",76.899997
"ALL",104.876199
"AMD",481.616228
"ANG",1.794806
"AOA",658.325
"ARS",78.1823
"AUD",1.404573
"AWG",1.8
"AZN",1.7025
"BAM",1.65435
"BBD",2
"BDT",84.72744
"BGN",1.65629
"BHD",0.37706
"BIF",1935.114861
"BMD",1
"BND",1.360463
"BOB",6.904406
"BRL",5.6243
"BSD",1
"BTC",7.6716513e-05
"BTN",73.985349
"BWP",11.388502
"BYN",2.542113
"BZD",2.00483
"CAD",1.32051
"CDF",1958.252884
"CHF",0.907998
"CLF",0.028098
"CLP",775.299318
"CNH",6.699925
"CNY",6.7122
"COP",3793.164708
"CRC",603.868588
"CUC",0.999793
"CUP",25.75
"CVE",93.63
"CZK",23.1092
"DJF",178.008789
"DKK",6.300554
"DOP",58.357824
"DZD",128.809595
"EGP",15.7003
"ERN",15.000309
"ETB",37.456287
"EUR",0.846721
"FJD",2.12865
"FKP",0.768114
"GBP",0.768114
"GEL",3.225
"GGP",0.768114
"GHS",5.828149
"GIP",0.768114
"GMD",51.75
"GNF",9788.936618
"GTQ",7.779267
"GYD",209.136051
"HKD",7.750055
"HNL",24.515902
"HRK",6.4187
"HTG",62.694275
"HUF",308.85
"IDR",14650.093813
"ILS",3.39101
"IMP",0.768114
"INR",73.9397
"IQD",1192.82361
"IRR",42105
"ISK",139.81
"JEP",0.768114
"JMD",146.017132
"JOD",0.709
"JPY",104.8605
"KES",108.85
"KGS",80.668201
"KHR",4097.749051
"KMF",416.950166
"KPW",900
"KRW",1132.721195
"KWD",0.305589
"KYD",0.83333
"KZT",429.800897
"LAK",9275.45558
"LBP",1513.961081
"LKR",184.333553
"LRD",188.583377
"LSL",16.264261
"LYD",1.359828
"MAD",9.166607
"MDL",16.992484
"MGA",3934.392925
"MKD",52.139442
"MMK",1286.887643
"MNT",2846.502242
"MOP",7.981764
"MRO",357
"MRU",37.465462
"MUR",39.86
"MVR",15.41
"MWK",755.0668
"MXN",20.9283
"MYR",4.1655
"MZN",72.92001
"NAD",16.25
"NGN",381.484079
"NIO",34.800533
"NOK",9.2421
"NPR",118.376484
"NZD",1.49824
"OMR",0.384998
"PAB",1
"PEN",3.598758
"PGK",3.527955
"PHP",48.372133
"PKR",161.116447
"PLN",3.879338
"PYG",7039.457593
"QAR",3.641
"RON",4.1263
"RSD",99.57
"RUB",76.431
"RWF",977.450822
"SAR",3.750519
"SBD",8.09052
"SCR",19.280138
"SDG",55.275
"SEK",8.7456
"SGD",1.36136
"SHP",0.768114
"SLL",9964.225022
"SOS",580.288339
"SRD",14.154
"SSP",130.26
"STD",20919.263213
"STN",20.875
"SVC",8.749529
"SYP",512.505514
"SZL",16.267112
"THB",31.2685
"TJS",10.334068
"TMT",3.51
"TND",2.7445
"TOP",2.313288
"TRY",8.0935
"TTD",6.786411
"TWD",28.609301
"TZS",2318.903008
"UAH",28.335243
"UGX",3732.690737
"USD",1
"UYU",42.677095
"UZS",10352.912907
"VEF",248487.642241
"VES",461866.864013
"VND",23201.429092
"VUV",113.773391
"WST",2.609978
"XAF",555.412523
"XAG",0.03956483
"XAU",0.00052579
"XCD",2.70255
"XDR",0.706435
"XOF",555.412523
"XPD",0.00042356
"XPF",101.040684
"XPT",0.00114184
"YER",250.399984
"ZAR",16.2087
"ZMW",20.306877
"ZWL",322
