"2023-06-01","ZMW",19.488429
"2023-06-01","ZWL",322
"2023-06-02","AED",3.672908
"2023-06-02","AFN",87.16472
"2023-06-02","ALL",102.08948
"2023-06-02","AMD",386.320398
"2023-06-02","ANG",1.801558
"2023-06-02","AOA",589.52197
"2023-06-02","ARS",240.183173
"2023-06-02","AUD",1.520753
"2023-06-02","AWG",1.8025
"2023-06-02","AZN",1.7
"2023-06-02","BAM",1.825624
"2023-06-02","BBD",2
"2023-06-02","BDT",107.23371
"2023-06-02","BGN",1.81746
"2023-06-02","BHD",0.376981
"2023-06-02","BIF",2820.934899
"2023-06-02","BMD",1
"2023-06-02","BND",1.350969
"2023-06-02","BOB",6.907399
"2023-06-02","BRL",5.014501
"2023-06-02","BSD",1
"2023-06-02","BTC",3.7352528e-05
"2023-06-02","BTN",82.643367
"2023-06-02","BWP",13.787857
"2023-06-02","BYN",2.523091
"2023-06-02","BZD",2.014926
"2023-06-02","CAD",1.34489
"2023-06-02","CDF",2326.600312
"2023-06-02","CHF",0.905243
"2023-06-02","CLF",0.029163
"2023-06-02","CLP",804.7
"2023-06-02","CNH",7.11107
"2023-06-02","CNY",7.0945
"2023-06-02","COP",4428.009032
"2023-06-02","CRC",539.243615
"2023-06-02","CUC",1
"2023-06-02","CUP",25.75
"2023-06-02","CVE",102.930537
"2023-06-02","CZK",21.9999
"2023-06-02","DJF",177.827972
"2023-06-02","DKK",6.920531
"2023-06-02","DOP",54.624966
"2023-06-02","DZD",136.497788
"2023-06-02","EGP",30.8966
"2023-06-02","ERN",15
"2023-06-02","ETB",54.589166
"2023-06-02","EUR",0.929202
"2023-06-02","FJD",2.24075
"2023-06-02","FKP",0.798378
"2023-06-02","GBP",0.798378
"2023-06-02","GEL",2.605
"2023-06-02","GGP",0.798378
"2023-06-02","GHS",11.270261
"2023-06-02","GIP",0.798378
"2023-06-02","GMD",59.57
"2023-06-02","GNF",8592.287827
"2023-06-02","GTQ",7.826976
"2023-06-02","GYD",211.41309
"2023-06-02","HKD",7.8314
"2023-06-02","HNL",24.5747
"2023-06-02","HRK",7.0011
"2023-06-02","HTG",139.446774
"2023-06-02","HUF",344.907613
"2023-06-02","IDR",14913.591542
"2023-06-02","ILS",3.74505
"2023-06-02","IMP",0.798378
"2023-06-02","INR",82.368554
"2023-06-02","IQD",1309.430959
"2023-06-02","IRR",42300
"2023-06-02","ISK",139.3
"2023-06-02","JEP",0.798378
"2023-06-02","JMD",154.53118
"2023-06-02","JOD",0.7093
"2023-06-02","JPY",138.95139286
"2023-06-02","KES",138.65
"2023-06-02","KGS",87.5868
"2023-06-02","KHR",4119.282996
"2023-06-02","KMF",461.349874
"2023-06-02","KPW",900
"2023-06-02","KRW",1311.897409
"2023-06-02","KWD",0.307531
"2023-06-02","KYD",0.833003
"2023-06-02","KZT",448.574555
"2023-06-02","LAK",17725.53189
"2023-06-02","LBP",15003.826025
"2023-06-02","LKR",294.892693
"2023-06-02","LRD",169.124971
"2023-06-02","LSL",19.775042
"2023-06-02","LYD",4.82869
"2023-06-02","MAD",10.169653
"2023-06-02","MDL",17.744742
"2023-06-02","MGA",4395.527335
"2023-06-02","MKD",57.65793
"2023-06-02","MMK",2099.122776
"2023-06-02","MNT",3519
"2023-06-02","MOP",8.064108
"2023-06-02","MRU",34.396367
"2023-06-02","MUR",46.04
"2023-06-02","MVR",15.3
"2023-06-02","MWK",1026.028467
"2023-06-02","MXN",17.5512
"2023-06-02","MYR",4.602
"2023-06-02","MZN",63.899991
"2023-06-02","NAD",19.72
"2023-06-02","NGN",461.061508
"2023-06-02","NIO",36.562882
"2023-06-02","NOK",11.057681
"2023-06-02","NPR",132.229746
"2023-06-02","NZD",1.649539
"2023-06-02","OMR",0.385002
"2023-06-02","PAB",1
"2023-06-02","PEN",3.672029
"2023-06-02","PGK",3.592814
"2023-06-02","PHP",56.023996
"2023-06-02","PKR",285.185511
"2023-06-02","PLN",4.198242
"2023-06-02","PYG",7270.55106
"2023-06-02","QAR",3.644994
"2023-06-02","RON",4.61595
"2023-06-02","RSD",108.940192
"2023-06-02","RUB",80.999988
"2023-06-02","RWF",1128.43565
"2023-06-02","SAR",3.750035
"2023-06-02","SBD",8.334167
"2023-06-02","SCR",14.013846
"2023-06-02","SDG",601
"2023-06-02","SEK",10.805693
"2023-06-02","SGD",1.347927
"2023-06-02","SHP",0.798378
"2023-06-02","SLL",17665
"2023-06-02","SOS",569.300391
"2023-06-02","SRD",37.828
