"Currency","Rate"
"AED",3.673
"AFN",76.899997
"ALL",104.85
"AMD",481.616228
"ANG",1.794806
"AOA",658.325
"ARS",78.2479
"AUD",1.403499
"AWG",1.8
"AZN",1.7025
"BAM",1.65435
"BBD",2
"BDT",84.72744
"BGN",1.654525
"BHD",0.376994
"BIF",1936
"BMD",1
"BND",1.360463
"BOB",6.904406
"BRL",5.62725
"BSD",1
"BTC",7.7067831e-05
"BTN",73.985349
"BWP",11.388502
"BYN",2.542113
"BZD",2.00483
"CAD",1.31984
"CDF",1960
"CHF",0.907408
"CLF",0.028109
"CLP",775.599758
"CNH",6.701719
"CNY",6.7122
"COP",3791.726265
"CRC",603.868588
"CUC",0.999793
"CUP",25.75
"CVE",93.63
"CZK",23.096357
"DJF",178.008789
"DKK",6.298432
"DOP",58.4
"DZD",128.709128
"EGP",15.6991
"ERN",15.000309
"ETB",37.45
"EUR",0.84651
"FJD",2.13
"FKP",0.768113
"GBP",0.768113
"GEL",3.225
"GGP",0.768113
"GHS",5.83
"GIP",0.768113
"GMD",51.75
"GNF",9775
"GTQ",7.779267
"GYD",209.136051
"HKD",7.75005
"HNL",24.5
"HRK",6.414829
"HTG",62.694275
"HUF",308.972312
"IDR",14702.8
"ILS",3.39101
"IMP",0.768113
"INR",73.964499
"IQD",1191.5
"IRR",42105.725176
"ISK",139.69
"JEP",0.768113
"JMD",146.017132
"JOD",0.709
"JPY",104.86075
"KES",108.83
"KGS",80.668201
"KHR",4075
"KMF",416.950166
"KPW",900
"KRW",1132.810807
"KWD",0.305548
"KYD",0.83333
"KZT",429.800897
"LAK",9257
"LBP",1512.951351
"LKR",184.333553
"LRD",191.250065
"LSL",16.25
"LYD",1.36
"MAD",9.17
"MDL",16.954995
"MGA",3925
"MKD",52.139442
"MMK",1286.887643
"MNT",2846.502242
"MOP",7.981764
"MRO",357
"MRU",37.03
"MUR",39.849338
"MVR",15.41
"MWK",756
"MXN",20.928712
"MYR",4.1655
"MZN",72.850017
"NAD",16.25
"NGN",381
"NIO",34.73
"NOK",9.243813
"NPR",118.376484
"NZD",1.496404
"OMR",0.384942
"PAB",1
"PEN",3.6055
"PGK",3.505
"PHP",48.373244
"PKR",161.2
"PLN",3.875835
"PYG",7039.457593
"QAR",3.641
"RON",4.1254
"RSD",99.54
"RUB",76.408
"RWF",975.5
"SAR",3.750524
"SBD",8.09052
"SCR",19.278006
"SDG",55.275
"SEK",8.746026
"SGD",1.361169
"SHP",0.768113
"SLL",9964.225022
"SOS",583
"SRD",14.154
"SSP",130.26
"STD",20919.263213
"STN",20.875
"SVC",8.749529
"SYP",512.550514
"SZL",16.25
"THB",31.24
"TJS",10.334068
"TMT",3.51
"TND",2.7445
"TOP",2.313288
"TRY",8.089035
"TTD",6.786411
"TWD",28.6195
"TZS",2318.806016
"UAH",28.335243
"UGX",3732.690737
"USD",1
"UYU",42.677095
"UZS",10355
"VEF",248487.642241
"VES",461866.864013
"VND",23193.277311
"VUV",113.773391
"WST",2.609978
"XAF",555.274149
"XAG",0.04112099
"XAU",0.00052537
"XCD",2.70255
"XDR",0.706435
"XOF",555.274149
"XPD",0.0004233
"XPF",101.015511
"XPT",0.00114159
"YER",250.399984
"ZAR",16.2084
"ZMW",20.306877
"ZWL",322
